date,year,area,state,abbr,lon,lat,risk_events,severity
2011-01-01,2011,ACT Region 2,Australian Capital Territory,ACT,149.28,-35.68,58,4.1
2011-01-01,2011,NSW Region 5,New South Wales,NSW,148.2,-35.82,46,3.7
2011-01-01,2011,VIC Region 11,Victoria,VIC,142.81,-37.16,119,4.2
2011-01-01,2011,NT Region 4,Northern Territory,NT,129.77,-19.74,12,4.2
2011-01-01,2011,TAS Region 2,Tasmania,TAS,147.61,-43.05,40,4.2
2011-01-01,2011,NSW Region 11,New South Wales,NSW,149.58,-36.68,78,4.6
2011-01-01,2011,QLD Region 6,Queensland,QLD,142.73,-20.46,267,4.5
2011-01-01,2011,QLD Region 11,Queensland,QLD,146.38,-15.86,264,4.3
2011-01-01,2011,QLD Region 3,Queensland,QLD,139.76,-22.66,197,4.8
2011-01-01,2011,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,38,4.0
2011-01-01,2011,VIC Region 4,Victoria,VIC,144.48,-36.78,79,3.8
2011-01-01,2011,WA Region 8,Western Australia,WA,117.35,-31.42,119,4.5
2011-01-01,2011,VIC Region 8,Victoria,VIC,146.7,-37.99,163,3.7
2011-01-01,2011,NSW Region 10,New South Wales,NSW,141.44,-36.71,217,4.0
2011-01-01,2011,SA Region 7,South Australia,SA,134.49,-28.35,26,4.1
2011-01-01,2011,VIC Region 1,Victoria,VIC,141.67,-37.19,242,4.1
2011-01-01,2011,TAS Region 3,Tasmania,TAS,147.69,-41.3,33,4.2
2011-01-01,2011,WA Region 3,Western Australia,WA,120.85,-22.44,85,4.4
2011-01-01,2011,NSW Region 2,New South Wales,NSW,145.87,-31.23,286,4.1
2011-01-01,2011,NSW Region 7,New South Wales,NSW,146.09,-29.31,64,3.9
2011-04-01,2011,NSW Region 3,New South Wales,NSW,143.67,-30.11,88,4.6
2011-04-01,2011,QLD Region 3,Queensland,QLD,139.76,-22.66,147,4.7
2011-04-01,2011,VIC Region 9,Victoria,VIC,145.34,-36.4,108,4.6
2011-04-01,2011,ACT Region 1,Australian Capital Territory,ACT,148.96,-35.52,31,4.0
2011-04-01,2011,QLD Region 11,Queensland,QLD,146.38,-15.86,206,4.3
2011-04-01,2011,NSW Region 8,New South Wales,NSW,142.53,-30.93,108,3.8
2011-04-01,2011,VIC Region 10,Victoria,VIC,141.57,-38.55,29,4.1
2011-04-01,2011,VIC Region 6,Victoria,VIC,148.91,-36.24,230,3.7
2011-04-01,2011,QLD Region 12,Queensland,QLD,148.09,-14.98,535,4.6
2011-04-01,2011,NT Region 5,Northern Territory,NT,132.33,-17.55,15,4.3
2011-04-01,2011,QLD Region 5,Queensland,QLD,147.0,-25.35,57,4.4
2011-04-01,2011,QLD Region 10,Queensland,QLD,143.89,-17.34,180,4.8
2011-04-01,2011,SA Region 3,South Australia,SA,134.63,-30.95,85,4.7
2011-04-01,2011,WA Region 8,Western Australia,WA,117.35,-31.42,161,4.7
2011-04-01,2011,NSW Region 1,New South Wales,NSW,141.79,-34.17,115,3.8
