area,state,abbr,region,lon,lat,population,obesity,smoking,inactive,diabetes,mental,alcohol,risk_index,risk_burden,severe_outcomes
NSW Region 1,New South Wales,NSW,East,141.79,-34.17,559395,28.7,11.7,33.6,5.4,24.5,22.9,20.5,151851,11255
NSW Region 2,New South Wales,NSW,East,145.87,-31.23,884123,32.8,8.6,35.4,4.7,22.0,27.9,21.9,253466,19937
NSW Region 3,New South Wales,NSW,East,143.67,-30.11,327642,32.4,11.1,36.9,4.7,20.5,23.7,21.8,83786,6335
NSW Region 4,New South Wales,NSW,East,143.72,-37.13,462227,27.9,9.8,40.8,4.7,22.6,23.1,21.3,134687,10542
NSW Region 5,New South Wales,NSW,East,148.2,-35.82,227485,27.8,8.3,37.5,6.2,21.5,24.8,20.9,63943,3758
NSW Region 6,New South Wales,NSW,East,144.12,-32.31,205180,31.9,8.6,35.6,6.3,25.2,23.1,21.1,61493,6072
NSW Region 7,New South Wales,NSW,East,146.09,-29.31,276738,32.4,10.5,39.7,4.7,21.0,27.6,23.0,85072,5542
NSW Region 8,New South Wales,NSW,East,142.53,-30.93,645673,33.3,9.3,37.0,4.9,21.6,24.3,21.8,145818,10377
NSW Region 9,New South Wales,NSW,East,151.53,-34.25,1141848,32.7,9.0,39.4,5.3,20.3,28.2,22.9,314341,21195
NSW Region 10,New South Wales,NSW,East,141.44,-36.71,738462,33.6,9.0,33.9,6.3,19.9,28.1,22.2,250802,21897
NSW Region 11,New South Wales,NSW,East,149.58,-36.68,358696,32.0,12.2,36.3,4.8,22.4,23.2,21.7,81808,5420
NSW Region 12,New South Wales,NSW,East,142.48,-36.81,500245,33.0,9.6,40.6,4.8,23.4,27.0,23.0,176905,11900
NSW Region 13,New South Wales,NSW,East,145.92,-35.82,618158,32.1,8.3,39.7,4.9,18.9,23.5,21.7,173008,11695
NSW Region 14,New South Wales,NSW,East,152.12,-36.68,417143,31.4,12.0,33.7,6.3,24.5,25.7,21.8,116212,9486
VIC Region 1,Victoria,VIC,South-East,141.67,-37.19,808068,29.0,10.8,38.0,4.5,24.8,23.8,21.2,223429,14986
VIC Region 2,Victoria,VIC,South-East,147.17,-37.78,190607,28.5,11.2,38.0,5.4,25.9,21.3,20.9,55457,4017
VIC Region 3,Victoria,VIC,South-East,144.14,-36.65,329480,31.2,8.4,32.7,4.9,23.3,24.3,20.3,64912,5000
VIC Region 4,Victoria,VIC,South-East,144.48,-36.78,304835,28.5,11.0,33.7,4.7,21.0,21.8,19.9,97150,7759
VIC Region 5,Victoria,VIC,South-East,141.4,-38.69,539468,29.5,10.4,34.1,4.8,23.6,22.3,20.2,138243,11109
VIC Region 6,Victoria,VIC,South-East,148.91,-36.24,669505,27.3,8.8,34.6,5.7,26.5,25.8,20.4,203007,19093
VIC Region 7,Victoria,VIC,South-East,146.57,-37.29,448222,31.1,9.8,35.0,5.8,22.9,22.4,20.8,107915,7626
VIC Region 8,Victoria,VIC,South-East,146.7,-37.99,536123,29.7,9.0,33.6,5.3,21.5,25.4,20.6,149423,8218
VIC Region 9,Victoria,VIC,South-East,145.34,-36.4,502608,32.2,11.5,38.1,4.7,23.8,23.1,21.9,111528,7260
VIC Region 10,Victoria,VIC,South-East,141.57,-38.55,187935,30.5,8.0,37.9,4.8,23.7,21.5,20.5,38736,3043
VIC Region 11,Victoria,VIC,South-East,142.81,-37.16,753974,33.1,9.8,33.3,5.5,22.6,22.7,20.9,186767,12146
VIC Region 12,Victoria,VIC,South-East,143.6,-38.57,1444914,27.0,10.6,32.4,5.2,25.8,25.2,20.1,434957,34904
