year,metric,rate
2011,Obesity rate (%),27.6
2012,Obesity rate (%),28.1
2013,Obesity rate (%),28.4
2014,Obesity rate (%),28.8
2015,Obesity rate (%),29.2
2016,Obesity rate (%),29.8
2017,Obesity rate (%),30.3
2018,Obesity rate (%),30.8
2019,Obesity rate (%),31.2
2020,Obesity rate (%),31.6
2021,Obesity rate (%),32.1
2022,Obesity rate (%),32.6
2011,Daily smoking rate (%),16.2
2012,Daily smoking rate (%),15.4
2013,Daily smoking rate (%),14.9
2014,Daily smoking rate (%),14.4
2015,Daily smoking rate (%),13.9
2016,Daily smoking rate (%),13.7
2017,Daily smoking rate (%),13.3
2018,Daily smoking rate (%),12.6
2019,Daily smoking rate (%),12.2
2020,Daily smoking rate (%),11.7
2021,Daily smoking rate (%),11.2
2022,Daily smoking rate (%),10.7
2011,Insufficient physical activity (%),43.2
2012,Insufficient physical activity (%),42.4
2013,Insufficient physical activity (%),41.8
2014,Insufficient physical activity (%),41.3
2015,Insufficient physical activity (%),41.1
2016,Insufficient physical activity (%),40.6
2017,Insufficient physical activity (%),40.1
2018,Insufficient physical activity (%),39.5
2019,Insufficient physical activity (%),38.8
2020,Insufficient physical activity (%),38.4
2021,Insufficient physical activity (%),37.8
2022,Insufficient physical activity (%),37.5
2011,High alcohol risk (%),27.6
2012,High alcohol risk (%),27.5
2013,High alcohol risk (%),27.5
2014,High alcohol risk (%),27.2
2015,High alcohol risk (%),26.8
2016,High alcohol risk (%),26.7
2017,High alcohol risk (%),26.5
2018,High alcohol risk (%),26.3
2019,High alcohol risk (%),26.2
2020,High alcohol risk (%),25.8
2021,High alcohol risk (%),25.9
2022,High alcohol risk (%),25.6
2011,Mental health condition (%),17.6
2012,Mental health condition (%),17.9
2013,Mental health condition (%),18.5
2014,Mental health condition (%),18.7
2015,Mental health condition (%),19.5
2016,Mental health condition (%),19.7
2017,Mental health condition (%),20.2
2018,Mental health condition (%),20.7
2019,Mental health condition (%),21.2
2020,Mental health condition (%),21.6
2021,Mental health condition (%),22.1
2022,Mental health condition (%),22.3
2011,Diabetes prevalence (%),4.9
2012,Diabetes prevalence (%),5.0
2013,Diabetes prevalence (%),5.1
2014,Diabetes prevalence (%),4.9
2015,Diabetes prevalence (%),5.2
2016,Diabetes prevalence (%),5.1
2017,Diabetes prevalence (%),5.1
2018,Diabetes prevalence (%),5.2
2019,Diabetes prevalence (%),5.6
2020,Diabetes prevalence (%),5.4
2021,Diabetes prevalence (%),5.6
2022,Diabetes prevalence (%),5.4
