state,abbr,year,obesity,smoking,inactive,diabetes,mental,alcohol,risk_index
New South Wales,NSW,2011,28.0,14.4,41.5,4.8,19.1,27.2,23.2
New South Wales,NSW,2012,28.4,13.9,41.0,4.8,19.2,27.1,23.0
New South Wales,NSW,2013,28.4,13.6,40.8,4.9,19.3,26.8,22.9
New South Wales,NSW,2014,28.7,13.1,40.5,4.9,19.9,26.6,22.8
New South Wales,NSW,2015,29.3,13.1,39.9,5.0,20.3,26.7,22.8
New South Wales,NSW,2016,29.3,12.6,39.8,5.0,20.4,26.4,22.6
New South Wales,NSW,2017,29.6,12.2,39.5,5.0,20.6,26.3,22.5
New South Wales,NSW,2018,29.8,11.7,39.1,5.1,20.9,26.2,22.4
New South Wales,NSW,2019,30.5,11.5,38.4,5.3,21.1,25.8,22.3
New South Wales,NSW,2020,30.5,11.0,38.3,5.3,21.5,25.7,22.2
New South Wales,NSW,2021,30.9,10.4,38.0,5.3,21.5,25.7,22.1
New South Wales,NSW,2022,31.0,10.2,37.6,5.4,22.1,25.3,21.9
Victoria,VIC,2011,27.1,14.4,40.3,4.7,20.5,25.7,22.4
Victoria,VIC,2012,27.6,14.0,39.8,4.7,20.6,25.9,22.4
Victoria,VIC,2013,27.9,13.2,39.6,4.7,21.0,25.6,22.2
Victoria,VIC,2014,28.2,13.1,39.1,4.9,21.4,25.5,22.2
Victoria,VIC,2015,28.4,12.7,38.9,4.8,21.6,25.1,22.0
Victoria,VIC,2016,28.7,12.3,38.3,4.8,22.0,25.1,21.8
Victoria,VIC,2017,29.0,11.7,38.2,5.0,22.3,24.8,21.7
Victoria,VIC,2018,29.1,11.4,37.5,5.1,22.2,24.6,21.5
Victoria,VIC,2019,29.6,10.9,37.3,5.1,22.5,24.4,21.5
Victoria,VIC,2020,29.9,10.8,37.1,5.0,22.9,24.4,21.4
Victoria,VIC,2021,29.9,10.4,36.7,5.2,23.4,24.4,21.3
Victoria,VIC,2022,30.3,9.9,36.3,5.1,23.3,24.3,21.2
Queensland,QLD,2011,30.9,17.1,43.1,5.4,18.5,28.8,25.1
Queensland,QLD,2012,31.4,16.3,42.9,5.5,19.0,28.4,24.9
Queensland,QLD,2013,31.8,16.1,42.3,5.7,19.4,28.3,24.8
Queensland,QLD,2014,32.0,15.7,42.1,5.6,19.6,28.1,24.7
Queensland,QLD,2015,32.5,15.3,41.8,5.8,19.6,27.8,24.6
Queensland,QLD,2016,32.6,14.9,41.2,5.7,19.9,27.6,24.4
Queensland,QLD,2017,32.8,14.5,40.9,5.9,20.2,27.7,24.4
Queensland,QLD,2018,33.2,14.1,40.5,5.8,20.6,27.6,24.2
Queensland,QLD,2019,33.6,13.8,40.4,6.0,20.8,27.5,24.3
Queensland,QLD,2020,33.8,13.1,40.0,6.0,21.2,27.1,24.0
Queensland,QLD,2021,34.1,12.9,39.5,6.1,21.3,27.0,23.9
Queensland,QLD,2022,34.5,12.3,39.2,6.1,21.6,26.6,23.7
South Australia,SA,2011,29.6,15.7,41.9,5.3,19.9,26.6,23.8
South Australia,SA,2012,29.9,15.5,41.7,5.3,20.0,26.1,23.7
South Australia,SA,2013,30.2,14.9,41.3,5.4,20.1,26.0,23.6
South Australia,SA,2014,30.6,14.6,41.0,5.5,20.6,26.0,23.5
South Australia,SA,2015,30.9,14.3,40.7,5.5,20.8,25.5,23.4
South Australia,SA,2016,31.1,13.6,40.1,5.6,21.1,25.5,23.2
South Australia,SA,2017,31.3,13.6,39.8,5.7,21.7,25.5,23.2
South Australia,SA,2018,31.8,13.1,39.6,5.7,22.0,25.3,23.1
South Australia,SA,2019,31.9,12.7,38.9,5.7,22.2,24.9,22.8
South Australia,SA,2020,32.2,12.1,38.8,5.9,22.2,25.0,22.8
South Australia,SA,2021,32.3,11.7,38.3,5.9,22.7,24.9,22.6
South Australia,SA,2022,32.8,11.3,38.1,6.0,22.9,24.7,22.6
Western Australia,WA,2011,30.0,15.3,39.7,4.7,18.0,29.4,23.8
Western Australia,WA,2012,30.1,15.0,39.2,4.7,18.0,29.0,23.6
Western Australia,WA,2013,30.5,14.5,39.1,4.7,18.6,28.8,23.5
Western Australia,WA,2014,30.7,14.1,38.6,4.9,18.5,28.7,23.4
Western Australia,WA,2015,30.9,13.6,38.2,4.9,19.1,28.4,23.2
Western Australia,WA,2016,31.2,13.3,37.8,5.0,19.4,28.5,23.2
Western Australia,WA,2017,31.8,13.1,37.4,5.0,19.4,28.2,23.1
Western Australia,WA,2018,32.0,12.6,37.3,5.1,19.8,28.2,23.0
Western Australia,WA,2019,32.3,12.0,36.7,5.2,19.9,28.0,22.8
Western Australia,WA,2020,32.7,11.8,36.3,5.2,20.2,27.9,22.8
Western Australia,WA,2021,32.7,11.1,36.0,5.2,20.8,27.4,22.5
Western Australia,WA,2022,32.9,10.8,35.7,5.3,21.1,27.4,22.4
Tasmania,TAS,2011,33.6,17.5,45.2,6.0,21.6,27.8,26.0
Tasmania,TAS,2012,33.6,17.4,44.8,6.0,21.5,27.4,25.8
Tasmania,TAS,2013,34.0,16.9,44.6,6.0,21.8,27.4,25.8
Tasmania,TAS,2014,34.4,16.3,44.0,6.0,22.0,27.3,25.6
Tasmania,TAS,2015,34.8,16.1,43.8,6.1,22.4,27.0,25.6
Tasmania,TAS,2016,34.9,15.7,43.6,6.2,22.7,27.0,25.5
Tasmania,TAS,2017,35.4,15.4,43.2,6.3,23.2,26.7,25.4
Tasmania,TAS,2018,35.6,14.7,42.9,6.2,23.4,26.7,25.2
Tasmania,TAS,2019,36.0,14.3,42.3,6.2,23.8,26.4,25.0
Tasmania,TAS,2020,36.0,13.9,41.9,6.4,23.8,26.1,24.9
Tasmania,TAS,2021,36.4,13.7,41.6,6.4,24.1,26.2,24.9
Tasmania,TAS,2022,36.8,13.3,41.0,6.6,24.4,26.0,24.7
Northern Territory,NT,2011,32.3,19.2,38.8,6.6,16.3,32.0,25.8
Northern Territory,NT,2012,32.5,18.8,38.3,6.6,16.6,31.7,25.6
Northern Territory,NT,2013,32.8,18.7,38.1,6.7,17.2,31.6,25.6
Northern Territory,NT,2014,33.3,18.3,37.8,6.8,17.1,31.5,25.5
Northern Territory,NT,2015,33.5,17.8,37.5,6.8,17.5,31.5,25.4
Northern Territory,NT,2016,33.9,17.3,36.8,6.9,17.9,31.3,25.2
Northern Territory,NT,2017,34.1,17.0,36.7,7.0,18.2,30.8,25.1
Northern Territory,NT,2018,34.4,16.6,36.3,7.0,18.5,30.7,25.0
Northern Territory,NT,2019,34.8,16.1,36.0,7.1,18.4,30.7,24.9
Northern Territory,NT,2020,35.0,15.7,35.4,7.2,18.8,30.7,24.8
Northern Territory,NT,2021,35.1,15.6,35.2,7.1,19.1,30.4,24.7
Northern Territory,NT,2022,35.3,14.9,34.7,7.1,19.7,30.2,24.4
Australian Capital Territory,ACT,2011,23.8,11.1,35.3,3.5,21.9,25.6,19.9
Australian Capital Territory,ACT,2012,24.3,10.9,35.1,3.5,21.9,25.4,19.8
Australian Capital Territory,ACT,2013,24.5,10.2,34.9,3.7,22.1,25.2,19.7
Australian Capital Territory,ACT,2014,24.9,10.1,34.3,3.6,22.4,24.9,19.6
Australian Capital Territory,ACT,2015,25.1,9.8,34.0,3.8,23.1,24.9,19.5
Australian Capital Territory,ACT,2016,25.2,9.1,33.9,3.7,23.2,24.6,19.3
Australian Capital Territory,ACT,2017,25.5,8.8,33.2,3.8,23.6,24.6,19.2
Australian Capital Territory,ACT,2018,26.1,8.2,33.1,3.9,23.7,24.5,19.2
Australian Capital Territory,ACT,2019,26.2,8.2,32.7,3.9,24.2,24.1,19.0
Australian Capital Territory,ACT,2020,26.5,7.6,32.3,3.9,24.3,24.1,18.9
Australian Capital Territory,ACT,2021,26.7,7.3,31.9,4.0,24.4,23.7,18.7
Australian Capital Territory,ACT,2022,27.0,6.8,31.7,4.1,24.6,23.6,18.6
